id_pedagio;data_operacao;responsavel;grupo;codigo_operadora;operadora;RAZAO_SOCIAL;CNPJ;EMAIL;TELEFONE
109;23/04/1988;Jaú;Eixo SP;4257269;SP225;PC05;;PED;Estadual
108;24/04/1988;Dois Córregos;Eixo SP;15922474;SP225;PC04;;PED;Estadual
107;25/04/1988;Brotas;Eixo SP;15923066;SP225;PC03;;PED;Estadual
106;26/04/1988;Itirapina;Eixo SP;16073202;SP310;PC02;;PED;Estadual
1572;27/04/1988;Rio Claro-Sul;Eixo SP;17371627;SP310;PC01;Sul;PED;Estadual
105;28/04/1988;Rio Claro-Norte;Eixo SP;17371694;SP310;PC01;Norte;PED;Estadual
1765;29/04/1988;Piracicaba;Eixo SP;15919037;SP308;PN02;;PED;Estadual
1766;30/04/1988;São Pedro I;Eixo SP;15913547;SP304;PN03;;PED;Estadual
1767;01/05/1988;Santa Maria da Serra;Eixo SP;11523320;SP304;PN04;;PED;Estadual
1768;02/05/1988;Garça;Eixo SP;3747266;SP294;PN08;;PED;Estadual
1769;03/05/1988;Torrinha;Eixo SP;15919832;SP304;PN05;;PED;Estadual
1770;04/05/1988;Piratininga;Eixo SP;3752082;SP294;PN07;;PED;Estadual
1771;05/05/1988;Parapuã;Eixo SP;2522691;SP294;PN10;;PED;Estadual
1772;06/05/1988;Oriente;Eixo SP;3736870;SP294;PN09;;PED;Estadual
1773;07/05/1988;Pacaembu;Eixo SP;2514658;SP294;PN12;;PED;Estadual
1774;08/05/1988;Inúbia Paulista;Eixo SP;2517335;SP294;PN11;;PED;Estadual
1775;09/05/1988;Indiana;Eixo SP;2503262;SP425;PN13;;PED;Estadual
1776;10/05/1988;Paraguaçu Paulista;Eixo SP;2507849;SP284;PN15;;PED;Estadual
1777;11/05/1988;Rancharia;Eixo SP;2504126;SP284;PN16;;PED;Estadual
1778;12/05/1988;Martinópolis;Eixo SP;2516148;SP425;PN22;;PED;Estadual
1779;13/05/1988;Tupi Paulista;Eixo SP;2495581;SP294;PN23;;PED;Estadual
1780;14/05/1988;Cabrália Paulista;Eixo SP;3750565;SP293;PN31;;PED;Estadual
