id_pedagio;Longitude;Latitude;Nome;codigo_operadora;Concessionaria;Situacao;Sigla;rodovia;Km;id_trecho;Sentido;Cidade;Estado;Codigo;orientacao;Tipo;juridicao;cobranca_especial;Categoria;data_alteracao;razao_social;CNPJ;email;tefefone
1095;-72644296;-7721975;"Rodrigues Alves";0;"Outras";"Ativo";"BR364";"Teste";0.00;1583567;"A";"Rodrigues Alves";"AC";;;"BAL";"Federal";0;;"--";;;;
1060;-56554465;-29117677;"Itaqui";0;"Outras";"Ativo";;"Teste";0.00;1614861;"D";"Itaqui";"RS";;;"BAL";;0;;"--";;;;
1168;-56014507;-28610682;"S�o Borja";38;"Mercovia";"Ativo";"BR287";"Teste";1.90;1615816;"A";"S�o Borja";"RS";;;"PED";"Federal";1;"B";"23/03/2018";;"01645397000131";;
1062;-54674307;-27572885;"Porto Mau�";98;"ANTAQ - Ag�ncia Nacional de Transportes Aquavi�rios";"Ativo";"RS344";"Teste";0.00;1627160;"D";"Porto Maua";"RS";;;"BAL";"Estadual";1;"E";"--";"AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS";"04903587000108";;
1197;-52526675;-31820039;"Pav�o";29;"Ecosul";"Ativo";"BR116";"Teste";541.20;1633054;"A";"Cap�o do Le�o";"RS";"P4";;"PED";"Federal";1;"D";"--";;"02511048000190";;
1201;-52640605;-31449783;"Gl�ria";29;"Ecosul";"Ativo";"BR392";"Teste";111.46;1633205;"A";"Cangu�u";"RS";"P3";;"PED";"Federal";1;"D";"--";;"02511048000190";;
28;-52462566;-30202788;"Pantano Grande";87;"DNIT";"Desativado";"BR290";"Teste";224.00;1085849;"A";"Pantano Grande";"RS";;;"PED";"Federal";1;"C";"19/03/2018";"DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES";"04892707000100";;
160;-52715123;-29680755;"Candel�ria";119;"Rota de Santa Maria";"Ativo";"RS287";"Teste";131.58;1660424;"A";"Candel�ria";"RS";"2";;"PED";"Estadual";0;;"31/08/2021";"CONCESSIONARIA ROTA DE SANTA MARIA S.A";"41886692000102";;
1056;-52087227;-32029991;"Rio Grande";96;"FANDREIS";"Ativo";"BR392";"Teste";0.00;1664270;"D";"Rio Grande";"RS";;;"BAL";"Federal";1;"E";"--";"F ANDREIS E CIA LTDA";"76476050000292";;
1200;-52326073;-31851827;"Cap�o Seco";29;"Ecosul";"Ativo";"BR392";"Teste";52.18;1664469;"A";"Povo Novo";"RS";"P2";;"PED";"Federal";1;"D";"--";;"02511048000190";;
1198;-52318190;-31625271;"Retiro";29;"Ecosul";"Ativo";"BR116";"Teste";510.76;1665129;"A";"Pelotas";"RS";"P1";;"PED";"Federal";1;"D";"23/03/2018";;"02511048000190";;
1199;-52049599;-31026411;"Cristal";29;"Ecosul";"Ativo";"BR116";"Teste";430.79;1666896;"A";"Cristal";"RS";"P5";;"PED";"Federal";1;"D";"--";;"02511048000190";;
